assistedflash,assister_X,assister_Y,assister_Z,assister_health,assister_place,assister_name,assister_steamid,assister_side,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,attackerblind,attackerinair,ct_side,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,t_side,thrusmoke,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,round_num
false,,,,,,,,,-711.30286,-2322.3833,-178.30353,100,BombsiteA,HUASOPEEK,76561198319723208,ct,false,false,ct,28.148806,0,113,0,true,head,false,false,0,0,t,false,17722,16.630745,-1493.6322,-171.23169,100,BombsiteA,HObbit,76561198028292758,t,usp_silencer,17293822569177546813,52591255071,"",0,1
false,,,,,,,,,133.10358,-1914.2004,-39.96875,100,PalaceInterior,max,76561198242950384,ct,false,false,ct,9.738768,0,130,0,true,head,false,false,0,0,t,false,17887,26.237986,-2280.9927,-39.96875,84,PalaceInterior,slaxejezzz,76561198356252021,t,usp_silencer,17293822569102704701,0,"",0,1
false,,,,,,,,,-506.12122,-2351.996,-167.96875,100,BombsiteA,HUASOPEEK,76561198319723208,ct,false,false,ct,20.47476,0,120,0,true,head,false,false,0,0,t,false,18064,-362.27246,-1556.3811,-167.96875,81,BombsiteA,xiELO,76561198141272052,t,usp_silencer,17293822569177546813,52591255071,"",0,1
false,,,,,,,,,273.1759,-1505.1902,-175.96875,100,PalaceInterior,zweih,76561198210626739,t,false,false,ct,16.207335,6,11,0,false,chest,false,false,0,0,t,false,18279,-324.6552,-1724.4214,-167.96875,2,BombsiteA,meyern,76561198195642865,ct,glock,17293822569105195012,50157786107,"",0,1
false,,,,,,,,,-532.58795,-1905.3232,-179.96875,91,BombsiteA,luchov,76561198067722198,ct,false,false,ct,22.938633,0,99,0,true,head,false,false,0,0,t,false,18305,285.08688,-1522.6134,-175.96875,51,PalaceInterior,zweih,76561198210626739,t,elite,17293822569102704642,0,"",0,1
false,,,,,,,,,326.47742,-1519.7375,-175.96875,100,TRamp,Jame,76561198036125584,t,false,false,ct,23.916515,5,10,0,false,right_arm,false,false,0,0,t,false,18355,-542.45715,-1882.4987,-179.96875,2,BombsiteA,luchov,76561198067722198,ct,glock,17293822569165815812,24626138627,"",0,1
false,,,,,,,,,-636.21094,-353.8994,-159.96875,100,Catwalk,Jame,76561198036125584,t,false,false,ct,43.03417,0,69,0,true,head,false,false,0,0,t,false,20437,-760.8782,-2046.6512,-179.96875,31,BombsiteA,HUASOPEEK,76561198319723208,ct,glock,17293822569165815812,24626138627,"",0,1
false,,,,,,,,,-558.3867,-1450.6162,-163.96875,100,BombsiteA,Jame,76561198036125584,t,false,false,ct,18.189924,0,95,0,true,head,false,false,0,0,t,false,20835,-1261.2285,-1314.6785,-169.88074,5,CTSpawn,dgt,76561198216891576,ct,glock,17293822569165815812,24626138627,"",0,1
false,,,,,,,,,-338.60718,-1589.1838,-167.96875,98,BombsiteA,max,76561198242950384,ct,false,false,ct,6.9084797,0,133,0,true,head,false,false,0,0,t,false,20988,-449.31042,-1838.0576,-177.1543,100,BombsiteA,Jame,76561198036125584,t,usp_silencer,17293822569177546813,52576952353,"",0,1
false,,,,,,,,,425.12143,-1436.439,-175.96875,100,PalaceInterior,luchov,76561198067722198,ct,false,false,ct,5.450243,0,24,0,false,chest,false,false,0,0,t,false,36141,430.13113,-1643.7587,-227.03064,2,TRamp,slaxejezzz,76561198356252021,t,mp9,17293822569106702370,46450683787,"",0,2
false,,,,,,,,,-14.236877,-1459.5558,-168.1449,100,BombsiteA,HUASOPEEK,76561198319723208,ct,false,false,ct,15.802159,0,127,0,true,head,false,false,0,0,t,true,36220,544.2223,-1703.9972,-263.96875,100,PalaceAlley,xiELO,76561198141272052,t,m4a1,17293822569191374864,52159726433,"",0,2
false,,,,,,,,,339.46463,-1687.1522,-181.69739,52,TRamp,zweih,76561198210626739,t,false,false,ct,6.5192027,7,13,0,false,right_arm,false,false,0,0,t,true,36308,391.41766,-1436.0626,-175.96875,10,PalaceInterior,luchov,76561198067722198,ct,glock,17293822569105195012,50157786107,"",0,2
false,,,,,,,,,-617.7335,-1386.1631,-167.96875,57,BombsiteA,dgt,76561198216891576,ct,false,false,ct,9.8572,0,45,0,false,stomach,false,false,0,0,t,false,36688,-782.3466,-1034.339,-167.96875,19,Connector,HObbit,76561198028292758,t,m4a1_silencer,17293822569167192124,52258558415,"",0,2
false,,,,,,,,,-1464.566,142.4528,-166.96875,57,BombsiteB,dgt,76561198216891576,ct,false,false,ct,14.256483,0,123,0,true,head,false,false,0,0,t,false,38506,-1811.3153,584.7785,-168.73975,3,BombsiteB,Jame,76561198036125584,t,m4a1_silencer,17293822569167192124,52258558415,"",0,2
false,391.41766,-1436.0626,-175.96875,0.0,PalaceInterior,luchov,76561198067722198,ct,-1376.4974,134.90486,-163.26147,32,BombsiteB,dgt,76561198216891576,ct,false,false,ct,21.32251,0,42,0,false,stomach,false,false,0,0,t,false,38946,-2044.3279,625.87085,-44.84375,18,Apartments,zweih,76561198210626739,t,m4a1_silencer,17293822569167192124,52258558415,"",0,2
false,,,,,,,,,-624.9845,-805.3225,-263.96875,73,Middle,dgt,76561198216891576,ct,false,false,ct,13.530009,19,89,0,true,head,false,false,0,0,t,false,41401,-100.471436,-722.2223,-220.16339,33,Middle,Jame,76561198036125584,t,m4a1,17293822569122955280,51508198279,"",0,3
false,,,,,,,,,30.26039,-1419.0089,-172.5946,23,PalaceInterior,HObbit,76561198028292758,t,false,false,ct,28.795725,4,33,0,false,stomach,false,false,0,0,t,false,42319,-591.3614,-2367.0574,-169.00177,11,BombsiteA,HUASOPEEK,76561198319723208,ct,ak47,17293822569146941447,39085812900,"",0,3
false,-714.1174,-2170.1636,-179.96875,14.0,BombsiteA,meyern,76561198195642865,ct,-537.33234,-1504.6892,-39.96875,73,Stairs,dgt,76561198216891576,ct,false,false,ct,18.335936,4,22,0,false,chest,false,false,0,0,t,false,42471,151.32628,-1677.6702,-167.96875,21,PalaceInterior,zweih,76561198210626739,t,m4a1,17293822569122955280,51508198279,"",0,3
false,151.32628,-1677.6702,-167.96875,0.0,PalaceInterior,zweih,76561198210626739,t,-94.770386,-1455.6569,-69.175354,7,BombsiteA,xiELO,76561198141272052,t,false,false,ct,25.568535,3,26,0,false,right_arm,false,false,0,0,t,false,42605,-629.2659,-2304.643,-176.23438,14,BombsiteA,meyern,76561198195642865,ct,ak47,17293822569163063303,50929720047,"",0,3
false,-591.3614,-2367.0574,-169.00177,0.0,BombsiteA,HUASOPEEK,76561198319723208,ct,-624.5105,-2469.0586,-167.96875,100,BombsiteA,max,76561198242950384,ct,false,false,ct,31.047443,4,22,0,false,chest,false,false,0,0,t,false,43880,19.247873,-1427.4111,-171.49341,7,BombsiteA,xiELO,76561198141272052,t,m4a1_silencer,17293822569167192124,52258558415,"",0,3
false,,,,,,,,,-761.90906,-2374.561,-175.91467,15,BombsiteA,max,76561198242950384,ct,false,false,ct,34.279564,4,22,0,false,chest,false,false,0,0,t,false,44074,245.56334,-1476.5535,-175.96875,22,PalaceInterior,slaxejezzz,76561198356252021,t,m4a1_silencer,17293822569167192124,52258558415,"",0,3
false,,,,,,,,,-1548.3424,863.9374,-7.96875,100,Apartments,max,76561198242950384,ct,false,false,ct,5.439616,4,27,0,false,chest,false,false,0,0,t,false,56588,-1458.1143,669.84314,-47.96875,18,Apartments,slaxejezzz,76561198356252021,t,ak47,17293822569144582151,52467896681,"",0,4
