assistedflash,assister_X,assister_Y,assister_Z,assister_active_weapon,assister_armor,assister_flash_duration,assister_flash_max_alpha,assister_has_helmet,assister_health,assister_is_airborne,assister_place,assister_name,assister_shots_fired,assister_spotted,assister_steamid,assister_side,assister_velocity_X,assister_velocity_Y,assister_velocity_Z,attacker_X,attacker_Y,attacker_Z,attacker_active_weapon,attacker_armor,attacker_flash_duration,attacker_flash_max_alpha,attacker_has_helmet,attacker_health,attacker_is_airborne,attacker_place,attacker_name,attacker_shots_fired,attacker_spotted,attacker_steamid,attacker_side,attacker_velocity_X,attacker_velocity_Y,attacker_velocity_Z,attackerblind,attackerinair,ct_side,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,t_side,thrusmoke,tick,victim_X,victim_Y,victim_Z,victim_active_weapon,victim_armor,victim_flash_duration,victim_flash_max_alpha,victim_has_helmet,victim_health,victim_is_airborne,victim_place,victim_name,victim_shots_fired,victim_spotted,victim_steamid,victim_side,victim_velocity_X,victim_velocity_Y,victim_velocity_Z,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,round_num
false,,,,,,,,,,,,,,,,,,,,-711.30286,-2322.3833,-178.30353,6177633,100,0.68279314,255.0,false,100,false,BombsiteA,HUASOPEEK,0,false,76561198319723208,ct,-32.527344,27.453125,-3.8867188,false,false,ct,28.148806,0,113,0,true,head,false,false,0,0,t,false,17722,16.630745,-1493.6322,-171.23169,11977526,100,0.0,255.0,false,100,false,BombsiteA,HObbit,0,true,76561198028292758,t,-62.81128,-202.05469,6.28125,usp_silencer,17293822569177546813,52591255071,"",0,1
false,,,,,,,,,,,,,,,,,,,,133.10358,-1914.2004,-39.96875,8422311,0,0.0,255.0,false,100,false,PalaceInterior,max,0,true,76561198242950384,ct,59.19336,37.429688,0.0,false,false,ct,9.738768,0,130,0,true,head,false,false,0,0,t,false,17887,26.237986,-2280.9927,-39.96875,7635883,93,0.0,255.0,false,84,false,PalaceInterior,slaxejezzz,0,true,76561198356252021,t,-96.54968,87.84375,0.0,usp_silencer,17293822569102704701,0,"",0,1
false,,,,,,,,,,,,,,,,,,,,-506.12122,-2351.996,-167.96875,6177633,100,4.3861265,255.0,false,100,false,BombsiteA,HUASOPEEK,0,false,76561198319723208,ct,220.1875,-32.703125,0.0,false,false,ct,20.47476,0,120,0,true,head,false,false,0,0,t,false,18064,-362.27246,-1556.3811,-167.96875,14025626,91,0.0,255.0,false,81,false,BombsiteA,xiELO,0,false,76561198141272052,t,115.109375,66.49219,0.0,usp_silencer,17293822569177546813,52591255071,"",0,1
false,,,,,,,,,,,,,,,,,,,,273.1759,-1505.1902,-175.96875,12829599,0,0.0,255.0,false,100,false,PalaceInterior,zweih,0,true,76561198210626739,t,94.4375,-69.40625,0.0,false,false,ct,16.207335,6,11,0,false,chest,false,false,0,0,t,false,18279,-324.6552,-1724.4214,-167.96875,10765173,100,0.0,255.0,false,2,false,BombsiteA,meyern,0,true,76561198195642865,ct,28.386719,-71.296875,0.0,glock,17293822569105195012,50157786107,"",0,1
false,,,,,,,,,,,,,,,,,,,,-532.58795,-1905.3232,-179.96875,7488479,95,0.0,255.0,false,91,false,BombsiteA,luchov,0,true,76561198067722198,ct,-36.585938,72.94531,0.0,false,false,ct,22.938633,0,99,0,true,head,false,false,0,0,t,false,18305,285.08688,-1522.6134,-175.96875,12829599,0,0.0,255.0,false,51,false,PalaceInterior,zweih,0,true,76561198210626739,t,33.29492,-69.66406,0.0,elite,17293822569102704642,0,"",0,1
false,,,,,,,,,,,,,,,,,,,,326.47742,-1519.7375,-175.96875,5784433,0,0.0,255.0,false,100,false,TRamp,Jame,0,true,76561198036125584,t,-53.689453,121.765625,0.0,false,false,ct,23.916515,5,10,0,false,right_arm,false,false,0,0,t,false,18355,-542.45715,-1882.4987,-179.96875,7488479,95,0.0,255.0,false,2,false,BombsiteA,luchov,0,true,76561198067722198,ct,-3.1289062,4.703125,0.0,glock,17293822569165815812,24626138627,"",0,1
false,,,,,,,,,,,,,,,,,,,,-636.21094,-353.8994,-159.96875,5784433,0,0.0,255.0,false,100,false,Catwalk,Jame,0,false,76561198036125584,t,-14.886719,1.1015625,0.0,false,false,ct,43.03417,0,69,0,true,head,false,false,0,0,t,false,20437,-760.8782,-2046.6512,-179.96875,6177633,100,0.0,255.0,false,31,false,BombsiteA,HUASOPEEK,0,true,76561198319723208,ct,55.882812,-101.71094,0.0,glock,17293822569165815812,24626138627,"",0,1
false,,,,,,,,,,,,,,,,,,,,-558.3867,-1450.6162,-163.96875,5784433,0,0.0,255.0,false,100,false,BombsiteA,Jame,0,true,76561198036125584,t,30.765625,74.88281,0.0,false,false,ct,18.189924,0,95,0,true,head,false,false,0,0,t,false,20835,-1261.2285,-1314.6785,-169.88074,5718861,100,0.0,255.0,false,5,false,CTSpawn,dgt,0,true,76561198216891576,ct,22.921875,108.57031,-8.761719,glock,17293822569165815812,24626138627,"",0,1
false,,,,,,,,,,,,,,,,,,,,-338.60718,-1589.1838,-167.96875,10765173,0,0.0,255.0,false,98,false,BombsiteA,max,0,true,76561198242950384,ct,-9.003906,1.265625,0.0,false,false,ct,6.9084797,0,133,0,true,head,false,false,0,0,t,false,20988,-449.31042,-1838.0576,-177.1543,5784433,0,0.0,255.0,false,100,false,BombsiteA,Jame,0,true,76561198036125584,t,183.64844,-105.71094,11.625,usp_silencer,17293822569177546813,52576952353,"",0,1
false,,,,,,,,,,,,,,,,,,,,425.12143,-1436.439,-175.96875,4374739,100,0.0,255.0,true,100,false,PalaceInterior,luchov,7,false,76561198067722198,ct,-44.64453,-2.0703125,0.0,false,false,ct,5.450243,0,24,0,false,chest,false,false,0,0,t,false,36141,430.13113,-1643.7587,-227.03064,2261351,0,0.0,255.0,false,2,false,TRamp,slaxejezzz,0,true,76561198356252021,t,-46.564453,-31.109375,23.28125,mp9,17293822569106702370,46450683787,"",0,2
false,,,,,,,,,,,,,,,,,,,,-14.236877,-1459.5558,-168.1449,6439104,100,0.0,255.0,true,100,false,BombsiteA,HUASOPEEK,1,false,76561198319723208,ct,17.152344,40.6875,-1.7148438,false,false,ct,15.802159,0,127,0,true,head,false,false,0,0,t,true,36220,544.2223,-1703.9972,-263.96875,7209364,0,0.0,255.0,false,100,false,PalaceAlley,xiELO,0,false,76561198141272052,t,-195.1875,-1.9140625,-9.046875,m4a1,17293822569191374864,52159726433,"",0,2
false,,,,,,,,,,,,,,,,,,,,339.46463,-1687.1522,-181.69739,5029979,0,0.0,255.0,false,52,false,TRamp,zweih,0,false,76561198210626739,t,148.0039,5.5859375,-74.00391,false,false,ct,6.5192027,7,13,0,false,right_arm,false,false,0,0,t,true,36308,391.41766,-1436.0626,-175.96875,3637655,50,0.0,255.0,true,10,false,PalaceInterior,luchov,0,false,76561198067722198,ct,-94.416016,0.0,0.0,glock,17293822569105195012,50157786107,"",0,2
false,,,,,,,,,,,,,,,,,,,,-617.7335,-1386.1631,-167.96875,11944138,77,0.0,255.0,true,57,false,BombsiteA,dgt,7,true,76561198216891576,ct,0.0,0.0,0.0,false,false,ct,9.8572,0,45,0,false,stomach,false,false,0,0,t,false,36688,-782.3466,-1034.339,-167.96875,3653757,0,0.0,255.0,false,19,false,Connector,HObbit,0,true,76561198028292758,t,-100.37109,-33.1875,0.0,m4a1_silencer,17293822569167192124,52258558415,"",0,2
false,,,,,,,,,,,,,,,,,,,,-1464.566,142.4528,-166.96875,11944138,77,0.0,255.0,true,57,false,BombsiteB,dgt,7,false,76561198216891576,ct,75.4375,-17.314453,0.0,false,false,ct,14.256483,0,123,0,true,head,false,false,0,0,t,false,38506,-1811.3153,584.7785,-168.73975,4374791,0,0.0,255.0,false,3,false,BombsiteB,Jame,0,true,76561198036125584,t,2.3046875,46.742188,-2.34375,m4a1_silencer,17293822569167192124,52258558415,"",0,2
false,391.41766,-1436.0626,-175.96875,16777215.0,0.0,0.0,255.0,false,0.0,false,PalaceInterior,luchov,0.0,false,76561198067722198,ct,0.0,0.0,0.0,-1376.4974,134.90486,-163.26147,11944138,69,0.0,255.0,true,32,false,BombsiteB,dgt,3,true,76561198216891576,ct,26.585938,33.374023,-1.234375,false,false,ct,21.32251,0,42,0,false,stomach,false,false,0,0,t,false,38946,-2044.3279,625.87085,-44.84375,4374739,0,0.0,255.0,false,18,true,Apartments,zweih,4,true,76561198210626739,t,-55.109375,-69.984375,-31.0,m4a1_silencer,17293822569167192124,52258558415,"",0,2
false,,,,,,,,,,,,,,,,,,,,-624.9845,-805.3225,-263.96875,6783977,66,0.8545519,255.0,true,73,false,Middle,dgt,4,false,76561198216891576,ct,1.453125,-9.2265625,0.0,false,false,ct,13.530009,19,89,0,true,head,false,false,0,0,t,false,41401,-100.471436,-722.2223,-220.16339,15172422,88,1.7720824,255.0,true,33,false,Middle,Jame,2,false,76561198036125584,t,0.5625,-4.1796875,-0.16796875,m4a1,17293822569122955280,51508198279,"",0,3
false,,,,,,,,,,,,,,,,,,,,30.26039,-1419.0089,-172.5946,10666934,70,0.0,255.0,true,23,false,PalaceInterior,HObbit,3,true,76561198028292758,t,-37.015747,24.9375,3.703125,false,false,ct,28.795725,4,33,0,false,stomach,false,false,0,0,t,false,42319,-591.3614,-2367.0574,-169.00177,6439104,90,0.0,255.0,true,11,false,BombsiteA,HUASOPEEK,2,true,76561198319723208,ct,24.628906,-18.0625,2.6992188,ak47,17293822569146941447,39085812900,"",0,3
false,-714.1174,-2170.1636,-179.96875,4374723.0,90.0,0.0,255.0,true,14.0,false,BombsiteA,meyern,0.0,false,76561198195642865,ct,0.66796875,-20.546875,0.0,-537.33234,-1504.6892,-39.96875,6783977,66,0.0,255.0,true,73,false,Stairs,dgt,1,false,76561198216891576,ct,0.0,0.0,0.0,false,false,ct,18.335936,4,22,0,false,chest,false,false,0,0,t,false,42471,151.32628,-1677.6702,-167.96875,6718099,86,0.0,255.0,true,21,false,PalaceInterior,zweih,0,true,76561198210626739,t,33.87207,-9.5703125,0.0,m4a1,17293822569122955280,51508198279,"",0,3
false,151.32628,-1677.6702,-167.96875,16777215.0,0.0,0.0,255.0,false,0.0,false,PalaceInterior,zweih,0.0,false,76561198210626739,t,0.0,0.0,0.0,-94.770386,-1455.6569,-69.175354,10814093,79,0.0,255.0,true,7,false,BombsiteA,xiELO,1,false,76561198141272052,t,-11.828125,7.2578125,0.0,false,false,ct,25.568535,3,26,0,false,right_arm,false,false,0,0,t,false,42605,-629.2659,-2304.643,-176.23438,4374723,90,0.0,255.0,true,14,false,BombsiteA,meyern,1,true,76561198195642865,ct,-56.410156,24.921875,-4.7226562,ak47,17293822569163063303,50929720047,"",0,3
