name,position,number_of_maps,firepower,entrying,trading,opening,clutching,sniping,utility,igl
alex666,Closer,83,27,44,43,26,58,0,61,1
npl,Opener,83,85,44,60,76,47,0,48,0
kensizor,Opener,83,70,94,56,63,37,0,41,0
esenthial,Linchpin,83,31,40,79,22,61,0,23,0
s1zzi,AWPer,83,57,47,32,77,63,93,33,0
Magnojez,Opener,67,88,42,32,85,47,3,82,0
zorte,AWPer,67,44,15,52,61,58,92,59,0
d1Ledez,Closer,40,74,50,75,30,66,1,34,0
Boombl4,Opener,67,36,72,26,37,43,0,74,1
s1ren,Linchpin,44,27,69,80,18,64,0,31,0
slaxz-,AWPer,54,55,43,36,70,38,93,72,0
s1n,Closer,54,14,44,62,19,46,0,88,1
Swisher,Opener,54,47,83,60,54,38,0,86,0
Lake,Opener,54,71,85,54,84,27,0,64,0
JBa,Linchpin,54,39,41,69,30,68,0,29,0
kl1m,AWPer,37,76,22,96,25,64,60,46,0
venomzera,Closer,37,38,98,65,60,60,0,31,0
LNZ,Opener,37,28,69,65,25,79,1,87,1
insani,Opener,37,93,83,47,88,48,0,71,0
brnz4n,Linchpin,37,11,83,60,35,39,0,36,0
hypex,AWPer,55,30,29,84,31,89,89,58,0
Tauson,Linchpin,55,44,64,45,18,73,0,34,0
Snax,Opener,55,16,48,16,48,42,1,82,1
REZ,Opener,55,72,88,66,71,47,0,58,0
PR,Closer,55,69,33,63,68,53,0,53,0
gr1ks,AWPer,58,69,23,54,58,67,94,65,0
faveN,Linchpin,58,33,36,63,24,61,0,25,0
blameF,Opener,58,89,8,55,59,75,0,66,1
JDC,Opener,56,73,52,7,86,22,0,45,0
tabseN,Closer,58,17,71,19,27,36,0,82,0
story,AWPer,28,48,17,15,74,79,91,63,0
jks,Closer,28,82,33,42,51,69,0,78,0
nettik,Linchpin,28,43,92,79,44,39,0,74,0
INS,Opener,28,69,67,44,48,23,0,92,1
Vexite,Opener,28,79,68,53,79,42,0,65,0
Jee,AWPer,76,72,45,66,52,76,91,65,0
Moseyuh,Closer,76,70,71,67,55,43,0,28,0
Mercury,Opener,76,49,62,48,51,54,0,70,1
JamYoung,Opener,76,86,78,34,80,58,0,65,0
Zero,Linchpin,76,59,81,68,31,41,0,31,0
oSee,AWPer,31,10,21,75,30,41,78,56,0
Grim,Linchpin,31,65,46,62,63,52,1,39,0
nitr0,Closer,31,30,79,48,5,56,1,65,1
Sonic,Opener,31,54,72,60,79,34,0,81,0
ultimate,AWPer,34,35,10,39,41,61,90,51,0
NAF,Closer,34,46,11,38,20,75,5,57,0
EliGE,Opener,34,54,77,68,73,25,0,43,0
malbsMd,Linchpin,33,81,72,55,82,38,0,50,0
JT,Opener,48,32,83,42,36,60,0,85,1
z4kr,AWPer,31,76,33,41,86,65,94,59,0
C4LLM3SU3,Closer,31,27,41,42,22,79,0,36,0
Westmelon,Opener,31,34,94,20,57,29,0,78,1
EmiliaQAQ,Linchpin,31,51,43,69,43,45,0,49,0
Starry,Opener,31,91,38,74,72,33,4,56,0
yxngstxr,AWPer,42,32,30,60,26,51,60,58,0
nilo,Closer,42,83,30,83,38,75,0,23,0
Chr1zN,Opener,42,27,68,38,49,32,0,71,1
susp,Linchpin,42,22,60,27,30,76,0,17,0
xfl0ud,Opener,42,58,59,41,60,27,0,72,0
maxxkor,AWPer,51,30,16,61,28,64,91,78,0
rdnzao,Closer,51,54,81,57,63,52,0,57,0
gafolo,Opener,51,10,94,75,24,42,0,73,1
koala,Linchpin,51,72,20,26,46,49,0,48,0
doc,Opener,51,71,84,66,82,39,0,55,0
MoDo,AWPer,32,66,11,32,52,78,93,60,0
beastik,Opener,32,47,41,9,69,48,0,73,1
SHOCK,Linchpin,32,28,18,28,34,45,1,46,0
stressarN,Opener,32,42,41,82,55,33,0,36,0
kisserek,Opener,32,52,47,8,73,29,0,48,0
phzy,AWPer,35,41,31,43,65,67,92,65,0
jabbi,Closer,35,72,61,56,47,34,3,45,0
HooXi,Closer,35,8,58,37,21,49,1,78,1
ryu,Linchpin,35,44,51,74,35,31,0,34,0
Staehr,Opener,35,83,48,37,81,43,0,73,0
meyern,AWPer,71,21,29,28,37,50,91,56,0
dgt,Closer,71,83,27,59,75,73,0,43,0
max,Opener,71,13,69,34,22,40,0,82,1
HUASOPEEK,Linchpin,71,45,84,53,59,31,0,51,0
luchov,Opener,71,93,61,62,85,35,0,67,0
cmtry,AWPer,41,23,23,49,39,45,91,67,0
dem0n,Closer,41,67,59,78,32,50,0,32,0
Krabeni,Opener,41,66,19,9,76,29,0,79,1
dziugss,Linchpin,41,74,69,65,51,45,0,39,0
lauNX,Opener,36,35,95,64,51,32,0,35,0
saffee,AWPer,27,37,9,21,32,75,91,52,0
piriajr,Closer,27,71,6,22,84,62,2,24,0
vsm,Closer,27,18,40,10,34,30,0,38,0
biguzera,Opener,27,26,41,21,39,68,0,80,1
snow,Linchpin,27,68,20,66,39,39,1,44,0
SunPayus,AWPer,55,48,23,38,60,68,93,62,0
huNter-,Closer,45,47,49,83,26,30,0,88,1
HeavyGod,Linchpin,55,73,40,33,44,61,1,54,0
MATYS,Opener,55,42,69,37,48,44,0,50,0
NertZ,Opener,55,59,56,26,82,42,1,54,0
afro,AWPer,50,64,5,34,70,70,94,67,0
Bymas,Closer,50,15,14,43,17,37,0,32,0
Rainwaker,Linchpin,50,50,13,21,38,71,0,24,0
AZUWU,Opener,50,45,73,27,79,30,0,49,0
Gizmy,Opener,45,23,61,20,59,47,1,92,1
sh1ro,AWPer,48,81,18,77,49,78,93,66,0
tN1R,Closer,48,56,61,32,59,40,0,63,0
magixx,Opener,48,28,76,20,30,51,1,94,1
zont1x,Linchpin,48,29,65,29,27,46,0,73,0
donk,Opener,48,100,84,71,97,42,1,35,0
saadzin,AWPer,62,26,16,33,40,64,92,67,0
latto,Closer,61,91,45,62,45,72,0,75,0
arT,Opener,61,38,76,21,83,18,3,75,1
dumau,Opener,61,90,43,55,88,30,0,79,0
Jame,AWPer,53,46,7,20,69,71,94,74,1
xiELO,Opener,53,45,65,38,55,42,1,42,0
zweih,Linchpin,53,47,32,43,27,65,5,62,0
"""910""",AWPer,51,78,17,26,64,52,93,62,0
bLitz,Opener,51,53,32,37,67,41,2,95,1
Techno,Linchpin,51,26,50,27,30,45,0,55,0
ZywOo,AWPer,52,98,33,54,85,76,91,58,0
ropz,Closer,52,70,6,43,48,50,3,21,0
apEX,Opener,52,43,42,18,62,30,0,95,1
flameZ,Opener,52,66,96,34,87,23,0,55,0
mezii,Linchpin,52,26,52,48,15,53,0,66,0
torzsi,AWPer,53,42,9,55,49,73,93,60,0
Spinx,Closer,53,39,45,22,66,35,0,28,0
xertioN,Opener,53,89,58,31,79,51,0,86,1
xelex,Linchpin,63,60,63,37,53,29,0,39,0
molodoy,AWPer,45,88,18,32,77,60,93,50,0
KSCERATO,Closer,45,82,33,40,46,67,1,70,0
FalleN,Opener,45,15,69,30,25,33,3,77,1
YEKINDAR,Opener,45,78,51,22,93,46,2,89,0
yuurih,Linchpin,45,36,42,57,13,87,0,55,0
m0NESY,AWPer,61,94,31,44,84,64,95,57,0
NiKo,Closer,61,69,38,56,58,71,0,72,0
karrigan,Opener,68,2,77,6,27,21,0,74,1
kyousuke,Opener,61,85,76,77,75,31,1,27,0
TeSeS,Linchpin,61,35,35,70,23,51,0,50,0
woxic,AWPer,42,61,6,26,77,70,94,51,0
Wicadia,Closer,42,95,32,19,54,77,3,37,0
XANTARES,Opener,42,79,53,37,89,26,0,56,0
w0nderful,AWPer,51,83,31,85,75,86,92,57,0
iM,Closer,51,74,77,59,59,39,0,43,0
Aleksib,Opener,51,3,80,41,11,42,0,90,1
makazze,Opener,51,72,91,20,89,43,0,54,0
b1t,Linchpin,51,80,42,75,44,30,1,52,0
s1mple,AWPer,17,67,6,70,75,40,86,66,0
Lucky,Closer,58,59,66,83,42,54,4,89,0
Maka,AWPer,58,27,49,35,50,60,84,89,1
Graviti,Opener,58,24,84,78,58,27,0,68,0
Flayy,AWPer,31,79,6,51,75,73,95,61,0
b1elany,Closer,106,71,45,48,35,69,0,44,0
raalz,Opener,31,36,77,29,41,75,0,95,1
kraghen,Linchpin,23,19,15,42,42,84,0,66,0
device,AWPer,74,92,9,30,79,81,92,84,0
sirah,Closer,74,63,49,85,45,50,0,52,0
poiii,Opener,74,81,69,57,88,52,0,39,0
eraa,AWPer,76,83,17,46,73,62,92,63,0
avid,Closer,76,69,59,70,79,38,0,56,0
twist,Opener,76,43,73,43,41,54,1,91,1
bobeksde,Opener,65,74,19,21,87,40,0,59,0
upE,Linchpin,84,23,61,21,27,52,0,67,0
electroNic,Closer,17,44,65,75,36,91,0,63,0
Senzu,Opener,40,94,25,59,55,34,15,60,0
mzinho,Linchpin,51,53,28,25,35,27,0,48,0
cass1n,AWPer,47,62,20,55,75,75,93,75,0
tomaszin,Closer,47,95,58,60,76,70,1,57,0
buda,Closer,47,69,91,52,65,45,0,83,1
nacho,Linchpin,47,24,37,62,24,46,0,64,0
timo,Linchpin,47,48,65,30,45,48,0,53,0
Alkaren,AWPer,14,61,8,50,88,74,95,55,0
bl1x1,Closer,76,52,92,49,46,43,0,42,0
glowiing,Opener,76,85,62,62,81,46,2,56,1
alpha,Opener,76,47,72,80,27,33,1,90,0
Mokuj1n,Linchpin,76,64,62,47,45,44,0,31,0
fluffy,AWPer,68,63,13,24,85,40,93,55,0
regali,AWPer,43,70,24,66,35,83,93,61,0
br0,Closer,28,58,59,56,68,22,0,72,0
jottAAA,Opener,46,86,37,51,80,30,0,37,0
Kvem,Opener,45,77,45,31,70,21,2,37,0
