health,place,side,Y,X,Z,tick,steamid,name,round_num
100,TSpawn,t,32.0,1296.0,-167.96875,1017,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1017,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1017,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1017,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1017,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1017,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1017,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1017,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1017,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1017,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1018,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1018,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1018,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1018,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1018,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1018,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1018,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1018,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1018,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1018,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1019,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1019,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1019,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1019,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1019,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1019,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1019,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1019,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1019,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1019,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1020,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1020,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1020,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1020,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1020,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1020,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1020,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1020,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1020,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1020,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1021,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1021,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1021,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1021,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1021,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1021,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1021,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1021,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1021,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1021,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1022,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1022,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1022,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1022,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1022,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1022,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1022,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1022,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1022,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1022,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1023,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1023,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1023,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1023,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1023,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1023,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1023,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1023,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1023,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1023,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1024,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1024,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1024,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1024,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1024,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1024,76561198141272052,xiELO,1
